event_id,event_date,event_name,city,event_type,organizer,venue,capacity,attendance,ticket_price,revenue,costs,profit
262,2025-05-17,Event 262,Giza,Wedding,Elite Planners,Downtown Hub,686,313,86,38127,19149,18978
263,2025-05-01,Event 263,Cairo,Corporate,Nile Events,Expo Arena,414,226,123,39538,21779,17759
264,2025-12-27,Event 264,Giza,Corporate,Nile Events,Downtown Hub,402,274,177,52616,23914,28702
265,2025-03-10,Event 265,Luxor,Workshop,Vision Hub,Downtown Hub,720,515,126,76890,43576,33314
266,2025-08-30,Event 266,Aswan,Corporate,Skyline Group,Nile Ballroom,796,744,172,129809,72520,57289
267,2025-09-28,Event 267,Mansoura,Wedding,Nile Events,Royal Garden,214,103,160,25261,11335,13926
268,2025-10-02,Event 268,Alexandria,Workshop,Prime Events,Royal Garden,552,307,72,32158,17564,14594
269,2025-09-19,Event 269,Luxor,Conference,Vision Hub,Nile Ballroom,625,493,136,76787,30686,46101
270,2025-08-25,Event 270,Mansoura,Wedding,Creative Minds,Grand Hall,505,357,20,11210,6463,4747
271,2025-01-24,Event 271,Luxor,Wedding,Creative Minds,Grand Hall,654,324,37,20222,7902,12320
272,2025-07-29,Event 272,Alexandria,Workshop,Creative Minds,Downtown Hub,761,557,115,70821,37712,33109
273,2025-07-13,Event 273,Luxor,Conference,Creative Minds,Downtown Hub,652,361,109,41792,18416,23376
274,2025-10-03,Event 274,Luxor,Festival,Skyline Group,Downtown Hub,328,147,25,9063,4870,4193
275,2025-10-06,Event 275,Luxor,Festival,Vision Hub,Nile Ballroom,353,275,108,32741,15510,17231
276,2025-02-27,Event 276,Cairo,Corporate,Vision Hub,Royal Garden,884,876,24,25467,11461,14006
277,2025-02-21,Event 277,Aswan,Conference,Vision Hub,Royal Garden,788,714,32,27357,17283,10074
278,2025-07-25,Event 278,Luxor,Workshop,Elite Planners,Nile Ballroom,872,834,34,31151,17174,13977
279,2025-05-29,Event 279,Alexandria,Corporate,Elite Planners,Sky Center,691,616,102,67213,32436,34777
280,2025-03-15,Event 280,Mansoura,Festival,Skyline Group,Expo Arena,407,253,35,18476,12979,5497
281,2025-03-31,Event 281,Mansoura,Corporate,Vision Hub,Royal Garden,607,297,108,43116,26225,16891
282,2025-09-26,Event 282,Giza,Corporate,Vision Hub,Expo Arena,252,189,116,25436,16190,9246
283,2025-08-31,Event 283,Alexandria,Workshop,Prime Events,Downtown Hub,247,229,34,17500,9105,8395
284,2025-08-02,Event 284,Aswan,Festival,Skyline Group,Expo Arena,348,221,72,21823,13091,8732
285,2025-08-19,Event 285,Giza,Conference,Elite Planners,Downtown Hub,295,145,88,19439,11839,7600
286,2025-11-05,Event 286,Cairo,Conference,Skyline Group,Royal Garden,841,721,163,121578,66016,55562
287,2025-06-20,Event 287,Giza,Conference,Skyline Group,Nile Ballroom,859,446,142,67806,41803,26003
288,2025-12-27,Event 288,Alexandria,Exhibition,Skyline Group,Royal Garden,429,391,92,42708,22999,19709
289,2025-11-29,Event 289,Giza,Wedding,Prime Events,Sky Center,625,535,139,76480,49938,26542
290,2025-08-29,Event 290,Giza,Workshop,Prime Events,Sky Center,523,258,164,46437,29349,17088
291,2025-01-09,Event 291,Giza,Festival,Elite Planners,Royal Garden,837,589,95,58952,26334,32618
292,2025-04-28,Event 292,Luxor,Festival,Skyline Group,Expo Arena,663,633,106,71814,45928,25886
293,2025-09-08,Event 293,Mansoura,Corporate,Creative Minds,Expo Arena,571,342,110,40893,17485,23408
294,2025-10-07,Event 294,Luxor,Workshop,Elite Planners,Downtown Hub,160,139,28,5609,3933,1676
295,2025-12-09,Event 295,Cairo,Conference,Vision Hub,Nile Ballroom,745,453,37,19735,7560,12175
296,2025-09-16,Event 296,Luxor,Wedding,Nile Events,Royal Garden,753,679,177,128599,77693,50906
297,2025-01-09,Event 297,Cairo,Festival,Elite Planners,Expo Arena,112,51,155,12906,7255,5651
298,2025-05-27,Event 298,Cairo,Festival,Creative Minds,Downtown Hub,540,334,47,17776,9924,7852
299,2025-05-04,Event 299,Alexandria,Festival,Elite Planners,Sky Center,462,343,121,43297,21944,21353
300,2025-07-27,Event 300,Luxor,Festival,Skyline Group,Downtown Hub,331,224,40,20170,14465,5705
301,2025-11-29,Event 301,Cairo,Conference,Vision Hub,Expo Arena,486,461,34,26606,10195,16411
302,2025-03-29,Event 302,Cairo,Exhibition,Vision Hub,Downtown Hub,439,341,44,24157,16729,7428
303,2025-04-28,Event 303,Alexandria,Corporate,Elite Planners,Expo Arena,377,180,39,18733,13013,5720
304,2025-10-06,Event 304,Aswan,Corporate,Nile Events,Nile Ballroom,422,193,73,24206,10384,13822
305,2025-12-31,Event 305,Luxor,Conference,Prime Events,Nile Ballroom,677,427,165,77330,47186,30144
306,2025-10-04,Event 306,Giza,Exhibition,Creative Minds,Nile Ballroom,805,732,40,37984,24061,13923
307,2025-06-27,Event 307,Cairo,Conference,Vision Hub,Nile Ballroom,177,122,174,31785,22397,9388
308,2025-07-23,Event 308,Giza,Conference,Creative Minds,Sky Center,561,503,78,45563,25881,19682
309,2025-07-12,Event 309,Luxor,Workshop,Creative Minds,Royal Garden,776,543,41,32898,15805,17093
310,2025-05-07,Event 310,Mansoura,Conference,Nile Events,Sky Center,257,212,59,19391,9456,9935
311,2025-02-24,Event 311,Cairo,Conference,Prime Events,Expo Arena,468,348,46,18678,7652,11026
312,2025-08-09,Event 312,Luxor,Festival,Elite Planners,Royal Garden,517,284,26,9352,4679,4673
313,2025-02-17,Event 313,Aswan,Festival,Prime Events,Expo Arena,112,68,125,15353,9901,5452
314,2025-10-14,Event 314,Alexandria,Festival,Elite Planners,Nile Ballroom,801,554,63,37676,17761,19915
315,2025-05-18,Event 315,Luxor,Workshop,Nile Events,Nile Ballroom,545,386,127,54433,29646,24787
316,2025-02-09,Event 316,Giza,Wedding,Skyline Group,Downtown Hub,740,586,172,111395,49736,61659
317,2025-02-24,Event 317,Alexandria,Wedding,Nile Events,Expo Arena,440,413,178,80238,52426,27812
318,2025-06-18,Event 318,Luxor,Wedding,Vision Hub,Downtown Hub,708,387,96,42905,25103,17802
319,2025-12-22,Event 319,Alexandria,Exhibition,Prime Events,Nile Ballroom,507,391,94,48640,28949,19691
320,2025-10-22,Event 320,Alexandria,Wedding,Vision Hub,Sky Center,502,411,49,29877,13382,16495
321,2025-10-07,Event 321,Alexandria,Corporate,Elite Planners,Grand Hall,844,615,73,52578,34239,18339
322,2025-12-21,Event 322,Cairo,Exhibition,Creative Minds,Expo Arena,242,185,81,19624,11851,7773
323,2025-08-05,Event 323,Luxor,Conference,Vision Hub,Royal Garden,590,563,122,77941,43042,34899
324,2025-12-21,Event 324,Luxor,Festival,Nile Events,Sky Center,818,783,157,133160,79494,53666
325,2025-02-13,Event 325,Cairo,Workshop,Creative Minds,Downtown Hub,463,293,176,52793,30170,22623
326,2025-11-27,Event 326,Mansoura,Corporate,Vision Hub,Sky Center,540,297,22,8649,4047,4602
327,2025-09-19,Event 327,Mansoura,Festival,Elite Planners,Royal Garden,804,655,76,57583,29206,28377
328,2025-08-26,Event 328,Mansoura,Festival,Creative Minds,Royal Garden,254,202,26,13661,5676,7985
329,2025-08-01,Event 329,Cairo,Conference,Creative Minds,Nile Ballroom,456,284,107,38348,24797,13551
330,2025-09-24,Event 330,Luxor,Wedding,Vision Hub,Grand Hall,548,477,101,49777,23996,25781
331,2025-12-30,Event 331,Cairo,Conference,Prime Events,Downtown Hub,211,180,62,15656,8695,6961
332,2025-10-10,Event 332,Alexandria,Wedding,Elite Planners,Expo Arena,573,375,123,56942,25208,31734
333,2025-11-24,Event 333,Mansoura,Exhibition,Vision Hub,Grand Hall,855,698,70,56725,32977,23748
334,2025-07-19,Event 334,Cairo,Corporate,Skyline Group,Nile Ballroom,385,365,36,23099,9576,13523
335,2025-10-02,Event 335,Alexandria,Wedding,Prime Events,Nile Ballroom,568,313,87,38719,26069,12650
336,2025-09-28,Event 336,Mansoura,Wedding,Elite Planners,Expo Arena,725,526,170,91791,45738,46053
337,2025-08-23,Event 337,Aswan,Workshop,Creative Minds,Downtown Hub,404,338,171,59686,36319,23367
338,2025-06-10,Event 338,Cairo,Workshop,Prime Events,Grand Hall,287,224,56,21413,10965,10448
339,2025-11-02,Event 339,Alexandria,Festival,Vision Hub,Expo Arena,290,254,157,51739,35830,15909
340,2025-03-30,Event 340,Aswan,Workshop,Vision Hub,Sky Center,243,156,100,23489,13872,9617
341,2025-07-03,Event 341,Cairo,Exhibition,Skyline Group,Nile Ballroom,493,479,146,77137,47269,29868
342,2025-08-01,Event 342,Mansoura,Exhibition,Vision Hub,Nile Ballroom,184,154,27,8271,3964,4307
343,2025-05-21,Event 343,Alexandria,Festival,Prime Events,Nile Ballroom,899,638,164,113247,64200,49047
344,2025-02-27,Event 344,Aswan,Conference,Prime Events,Royal Garden,475,234,132,40339,18326,22013
345,2025-08-06,Event 345,Cairo,Corporate,Creative Minds,Nile Ballroom,404,404,28,19180,9002,10178
346,2025-02-14,Event 346,Luxor,Conference,Skyline Group,Nile Ballroom,855,685,109,85163,50684,34479
347,2025-03-26,Event 347,Aswan,Workshop,Skyline Group,Nile Ballroom,160,144,109,24916,11849,13067
348,2025-10-03,Event 348,Alexandria,Wedding,Creative Minds,Sky Center,396,324,88,37440,26772,10668
349,2025-12-14,Event 349,Cairo,Workshop,Vision Hub,Grand Hall,383,339,52,29620,19977,9643
350,2025-05-08,Event 350,Alexandria,Corporate,Prime Events,Nile Ballroom,879,826,120,107639,46105,61534
351,2025-11-20,Event 351,Giza,Corporate,Vision Hub,Expo Arena,562,290,43,19570,10867,8703
352,2025-05-23,Event 352,Mansoura,Wedding,Vision Hub,Expo Arena,435,343,20,8886,5585,3301
353,2025-08-23,Event 353,Mansoura,Corporate,Creative Minds,Sky Center,164,141,121,21129,14983,6146
354,2025-04-19,Event 354,Luxor,Wedding,Prime Events,Sky Center,445,340,167,59419,34016,25403
355,2025-09-06,Event 355,Giza,Corporate,Nile Events,Grand Hall,201,170,137,24056,10157,13899
356,2025-03-22,Event 356,Luxor,Exhibition,Nile Events,Expo Arena,307,171,97,19691,13336,6355
357,2025-05-21,Event 357,Cairo,Corporate,Prime Events,Sky Center,184,129,62,9346,4810,4536
358,2025-06-06,Event 358,Mansoura,Corporate,Skyline Group,Expo Arena,771,392,44,17765,8039,9726
359,2025-02-09,Event 359,Alexandria,Festival,Skyline Group,Royal Garden,796,585,22,13502,8324,5178
360,2025-03-03,Event 360,Luxor,Corporate,Skyline Group,Expo Arena,172,106,118,14471,9094,5377
361,2025-02-22,Event 361,Cairo,Wedding,Prime Events,Sky Center,240,205,54,22081,15845,6236
362,2025-03-15,Event 362,Cairo,Festival,Elite Planners,Grand Hall,724,657,62,48444,24193,24251
363,2025-04-20,Event 363,Mansoura,Corporate,Skyline Group,Expo Arena,730,679,133,94366,38640,55726
364,2025-02-21,Event 364,Alexandria,Conference,Elite Planners,Downtown Hub,493,400,129,57252,37154,20098
365,2025-05-07,Event 365,Giza,Corporate,Nile Events,Nile Ballroom,666,606,173,115292,54979,60313
366,2025-12-20,Event 366,Cairo,Corporate,Prime Events,Nile Ballroom,630,593,150,92540,58695,33845
367,2025-06-01,Event 367,Mansoura,Conference,Skyline Group,Expo Arena,495,279,81,31284,18674,12610
368,2025-02-06,Event 368,Aswan,Conference,Prime Events,Sky Center,235,204,165,41055,20701,20354
369,2025-12-16,Event 369,Alexandria,Exhibition,Nile Events,Grand Hall,701,349,23,12822,5812,7010
370,2025-01-31,Event 370,Luxor,Festival,Prime Events,Downtown Hub,829,629,126,86693,53629,33064
371,2025-02-12,Event 371,Mansoura,Festival,Elite Planners,Royal Garden,256,186,41,13203,5371,7832
372,2025-04-15,Event 372,Alexandria,Festival,Prime Events,Expo Arena,700,639,36,28585,17652,10933
373,2025-05-03,Event 373,Cairo,Workshop,Nile Events,Expo Arena,218,156,176,37931,15123,22808
374,2025-12-08,Event 374,Mansoura,Corporate,Creative Minds,Nile Ballroom,222,100,55,17493,6714,10779
375,2025-09-12,Event 375,Giza,Festival,Elite Planners,Downtown Hub,365,206,115,26269,16678,9591
376,2025-05-18,Event 376,Mansoura,Conference,Nile Events,Sky Center,539,381,154,60220,28267,31953
377,2025-10-23,Event 377,Mansoura,Conference,Vision Hub,Expo Arena,623,464,34,24461,16442,8019
378,2025-03-27,Event 378,Giza,Workshop,Prime Events,Grand Hall,687,654,49,36288,22929,13359
379,2025-01-02,Event 379,Cairo,Conference,Skyline Group,Grand Hall,583,448,118,55822,24608,31214
380,2025-01-19,Event 380,Aswan,Corporate,Creative Minds,Downtown Hub,529,352,102,40471,21106,19365
381,2025-06-13,Event 381,Giza,Conference,Elite Planners,Sky Center,222,163,33,8817,4019,4798
382,2025-09-22,Event 382,Cairo,Exhibition,Nile Events,Expo Arena,389,373,99,42789,17516,25273
383,2025-08-22,Event 383,Cairo,Wedding,Skyline Group,Sky Center,677,459,179,86635,46586,40049
384,2025-10-30,Event 384,Luxor,Workshop,Creative Minds,Royal Garden,878,802,82,68730,26266,42464
